,Airline,Journey_date,From,To,Dtime,Atime,Stops,Price
1,Spicejet,15/10/2021,Goa,Ahmedabad,14:50,17:00,Non stop,5315.0
2,Go First,15/10/2021,Goa,Ahmedabad,15:40,17:10,Non stop,5315.0
3,Spicejet,15/10/2021,Goa,Ahmedabad,19:40,21:40,Non stop,5315.0
4,Go First,15/10/2021,Goa,Ahmedabad,20:25,22:05,Non stop,5315.0
5,Go First,15/10/2021,Goa,Ahmedabad,16:15,21:05,1 stop via Mumbai,5315.0
6,Go First,15/10/2021,Goa,Ahmedabad,14:25,21:05,1 stop via Mumbai,5315.0
7,Go First,15/10/2021,Goa,Ahmedabad,13:40,21:05,1 stop via Mumbai,5315.0
8,Go First,15/10/2021,Goa,Ahmedabad,17:25,08:35,1 stop via New Delhi,5315.0
9,IndiGo,15/10/2021,Goa,Ahmedabad,15:25,17:05,Non stop,5316.0
10,IndiGo,15/10/2021,Goa,Ahmedabad,21:40,23:20,Non stop,5316.0
11,IndiGo,15/10/2021,Goa,Ahmedabad,19:50,23:25,1 stop via Mumbai,5316.0
12,IndiGo,15/10/2021,Goa,Ahmedabad,18:30,23:25,1 stop via Mumbai,5316.0
13,IndiGo,15/10/2021,Goa,Ahmedabad,16:30,23:25,1 stop via Mumbai,5316.0
14,IndiGo,15/10/2021,Goa,Ahmedabad,14:40,21:15,1 stop via Hyderabad,5773.0
15,"Go First, Air India",15/10/2021,Goa,Ahmedabad,13:40,18:10,1 stop via Mumbai,7898.0
16,"AirAsia, Go First",15/10/2021,Goa,Ahmedabad,18:55,08:30,"2 stop via Mumbai,Bengaluru",7899.0
17,Spicejet,16/10/2021,Goa,Ahmedabad,07:45,09:45,Non stop,5315.0
18,Spicejet,16/10/2021,Goa,Ahmedabad,14:50,17:00,Non stop,5315.0
19,Go First,16/10/2021,Goa,Ahmedabad,15:40,17:10,Non stop,5315.0
20,Spicejet,16/10/2021,Goa,Ahmedabad,19:40,21:40,Non stop,5315.0
21,Go First,16/10/2021,Goa,Ahmedabad,20:25,22:05,Non stop,5315.0
22,Go First,16/10/2021,Goa,Ahmedabad,11:10,17:00,1 stop via New Delhi,5315.0
23,Go First,16/10/2021,Goa,Ahmedabad,11:10,17:00,1 stop via New Delhi,5315.0
24,Go First,16/10/2021,Goa,Ahmedabad,16:15,21:05,1 stop via Mumbai,5315.0
25,Go First,16/10/2021,Goa,Ahmedabad,14:25,21:05,1 stop via Mumbai,5315.0
26,IndiGo,16/10/2021,Goa,Ahmedabad,09:10,10:50,Non stop,5316.0
27,IndiGo,16/10/2021,Goa,Ahmedabad,15:25,17:05,Non stop,5316.0
28,IndiGo,16/10/2021,Goa,Ahmedabad,09:15,14:40,1 stop via Mumbai,5316.0
29,IndiGo,16/10/2021,Goa,Ahmedabad,09:15,14:40,1 stop via Mumbai,5316.0
30,IndiGo,16/10/2021,Goa,Ahmedabad,13:10,17:40,1 stop via Mumbai,5316.0
31,IndiGo,16/10/2021,Goa,Ahmedabad,12:00,17:40,1 stop via Mumbai,5316.0
32,IndiGo,16/10/2021,Goa,Ahmedabad,10:55,17:40,1 stop via Mumbai,5316.0
33,IndiGo,16/10/2021,Goa,Ahmedabad,16:30,21:10,1 stop via Mumbai,5316.0
